"TradeNumber","common.Side","Quantity","Price","PnlForTrade","CumulativePnl"
"62","Sell","4.3735","4.5739","0.0039","1000.0594"
"63","Sell","4.3755","4.5733","0.0105","1000.0699"
"64","Sell","4.3778","4.5785","0.0438","1000.1137"
"65","Sell","4.3738","4.5868","0.0616","1000.1753"
"66","Sell","4.3588","4.584","-0.0192","1000.1561"
"67","Sell","4.372","4.5734","-0.0052","1000.1509"
"68","Sell","4.3621","4.5839","-0.0044","1000.1465"
"69","Sell","4.3668","4.5948","0.0645","1000.211"
"70","Sell","4.3509","4.597","0.0013","1000.2123"
"71","Sell","4.3492","4.6039","0.0235","1000.2358"
"72","Sell","4.3442","4.604","9.0E-4","1000.2367"
"73","Sell","4.3474","4.6011","0.0026","1000.2393"
"74","Sell","4.3493","4.6082","0.0426","1000.2819"
"75","Sell","4.3497","4.599","0.0043","1000.2862"
"76","Sell","4.3558","4.5982","0.0287","1000.3149"
"77","Sell","4.3608","4.5685","-0.0775","1000.2374"
"78","Sell","4.3874","4.555","-0.0154","1000.222"
"79","Sell","4.4001","4.542","-0.0145","1000.2075"
"80","Sell","4.402","4.5431","-0.0013","1000.2062"
"81","Sell","4.3966","4.5466","-0.0106","1000.1956"
"82","Sell","4.4024","4.5494","0.0282","1000.2238"
"83","Sell","4.3991","4.5265","-0.0874","1000.1364"
"84","Sell","4.4266","4.5211","0.0133","1000.1497"
"85","Sell","4.433","4.52","0.0372","1000.1869"
"86","Sell","4.404","4.53","-0.0498","1000.1371"
"87","Sell","4.3776","4.5778","0.0398","1000.1769"
"88","Sell","4.3814","4.5719","0.0315","1000.2084"
"89","Sell","4.3695","4.5837","0.0284","1000.2368"
"90","Sell","4.3702","4.5866","0.0446","1000.2814"
"91","Sell","4.3511","4.5914","-0.0222","1000.2592"
"92","Sell","4.3529","4.6074","0.0556","1000.3148"
"93","Sell","4.3543","4.6097","0.0717","1000.3865"
"94","Sell","4.3374","4.594","-0.0741","1000.3124"
"95","Sell","4.3588","4.5896","0.0052","1000.3176"
"96","Sell","4.3551","4.5908","-0.0065","1000.3111"
"97","Sell","4.3632","4.5863","0.0109","1000.322"
"98","Sell","4.3767","4.5679","-0.0079","1000.3141"
"99","Sell","4.3828","4.5745","0.0491","1000.3632"
"100","Sell","4.3718","4.5817","0.0302","1000.3934"
"101","Sell","4.3796","4.5644","-0.0096","1000.3838"
"102","Sell","4.3678","4.566","-0.0567","1000.3271"
"103","Sell","4.3767","4.5712","0.0066","1000.3337"
"104","Sell","4.378","4.578","0.0425","1000.3762"
"105","Sell","4.3768","4.5782","0.0376","1000.4138"
"106","Sell","4.3631","4.5817","-0.0096","1000.4042"
"107","Sell","4.3706","4.5842","0.0358","1000.44"
"108","Sell","4.3707","4.5705","-0.0236","1000.4164"
"109","Sell","4.3758","4.5724","0.0079","1000.4243"
"110","Sell","4.3755","4.5131","-0.2526","1000.1717"
"111","Sell","4.42","4.5197","-0.023","1000.1487"
"112","Sell","4.4321","4.5162","0.0164","1000.1651"
"113","Sell","4.4339","4.4857","-0.1107","1000.0544"
"114","Sell","4.4631","4.4878","0.0295","1000.0839"
"115","Sell","4.4514","4.488","-0.0223","1000.0616"
"116","Sell","4.465","4.4832","0.0174","1000.079"
"117","Sell","4.4315","4.5126","-0.0022","1000.0768"
"118","Sell","4.4304","4.5186","0.0191","1000.0959"
"119","Sell","4.4345","4.5183","0.0364","1000.1323"
"120","Sell","4.4352","4.516","0.0293","1000.1616"
"121","Sell","4.4325","4.5124","0.0013","1000.1629"
"122","Sell","4.4343","4.4964","-0.0615","1000.1014"
"123","Sell","4.4561","4.4875","-0.0031","1000.0983"
"124","Sell","4.4566","4.4841","-0.016","1000.0823"
"125","Sell","4.45","4.4952","0.0036","1000.0859"
"126","Sell","4.4525","4.4818","-0.045","1000.0409"
"127","Sell","4.456","4.5013","0.0578","1000.0987"
"128","Sell","4.4443","4.4681","-0.1421","999.9566"
"129","Sell","4.4787","4.4659","0.0013","999.9579"
"130","Sell","4.4796","4.4601","-0.0206","999.9373"
"131","Sell","4.4944","4.445","-0.0225","999.9148"
"132","Sell","4.5049","4.4595","0.0895","1000.0043"
"133","Sell","4.4991","4.4505","0.0234","1000.0277"
"134","Sell","4.4864","4.4574","-0.0022","1000.0255"
"135","Sell","4.4581","4.4768","-0.0419","999.9836"
"136","Sell","4.4513","4.5131","0.0889","1000.0725"
"137","Sell","4.4342","4.5208","0.0461","1000.1186"
"138","Sell","4.4363","4.5164","0.0359","1000.1545"
